2014-12-12 21:43:00,778 | INFO  | Connector mqtt stopped | org.apache.activemq.broker.TransportConnector | Thread-23
2014-12-12 21:43:00,845 | INFO  | Connector ws stopped | org.apache.activemq.broker.TransportConnector | Thread-23
2014-12-12 21:43:00,852 | INFO  | PListStore:[/home/moritz/rep/VS/apache-activemq-5.10.0/data/localhost/tmp_storage] stopped | org.apache.activemq.store.kahadb.plist.PListStoreImpl | Thread-23
2014-12-12 21:43:00,853 | INFO  | Stopping async queue tasks | org.apache.activemq.store.kahadb.KahaDBStore | Thread-23
2014-12-12 21:43:00,854 | INFO  | Stopping async topic tasks | org.apache.activemq.store.kahadb.KahaDBStore | Thread-23
2014-12-12 21:43:00,857 | INFO  | Stopped KahaDB | org.apache.activemq.store.kahadb.KahaDBStore | Thread-23
2014-12-12 21:43:01,194 | INFO  | Apache ActiveMQ 5.10.0 (localhost, ID:moritz-ThinkPad-Edge-S430-48303-1418415947774-0:1) uptime 17 minutes | org.apache.activemq.broker.BrokerService | Thread-23
2014-12-12 21:43:01,196 | INFO  | Apache ActiveMQ 5.10.0 (localhost, ID:moritz-ThinkPad-Edge-S430-48303-1418415947774-0:1) is shutdown | org.apache.activemq.broker.BrokerService | Thread-23
2014-12-12 21:43:01,197 | INFO  | Closing org.apache.activemq.xbean.XBeanBrokerFactory$1@1feb6bd5: startup date [Fri Dec 12 21:25:45 CET 2014]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | Thread-23
2014-12-12 21:43:01,222 | INFO  | Destroying Spring FrameworkServlet 'dispatcher' | /admin | Thread-23
2014-12-12 21:43:25,386 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@415a8d30: startup date [Fri Dec 12 21:43:25 CET 2014]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2014-12-12 21:43:27,178 | INFO  | PListStore:[/home/moritz/rep/VS/apache-activemq-5.10.0/data/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2014-12-12 21:43:27,220 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/home/moritz/rep/VS/apache-activemq-5.10.0/data/kahadb] | org.apache.activemq.broker.BrokerService | main
2014-12-12 21:43:27,663 | INFO  | KahaDB is version 5 | org.apache.activemq.store.kahadb.MessageDatabase | main
2014-12-12 21:43:27,692 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2014-12-12 21:43:27,705 | INFO  | Recovery replayed 205 operations from the journal in 0.026 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2014-12-12 21:43:27,884 | INFO  | Apache ActiveMQ 5.10.0 (localhost, ID:moritz-ThinkPad-Edge-S430-59174-1418417007734-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2014-12-12 21:43:27,919 | INFO  | Listening for connections at: tcp://moritz-ThinkPad-Edge-S430:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-12-12 21:43:27,928 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2014-12-12 21:43:27,940 | INFO  | Listening for connections at: amqp://moritz-ThinkPad-Edge-S430:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-12-12 21:43:27,947 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2014-12-12 21:43:27,961 | INFO  | Listening for connections at: stomp://moritz-ThinkPad-Edge-S430:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-12-12 21:43:27,968 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2014-12-12 21:43:27,983 | INFO  | Listening for connections at: mqtt://moritz-ThinkPad-Edge-S430:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-12-12 21:43:27,990 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2014-12-12 21:43:34,218 | INFO  | Listening for connections at ws://moritz-ThinkPad-Edge-S430:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2014-12-12 21:43:34,219 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2014-12-12 21:43:34,224 | INFO  | Apache ActiveMQ 5.10.0 (localhost, ID:moritz-ThinkPad-Edge-S430-59174-1418417007734-0:1) started | org.apache.activemq.broker.BrokerService | main
